,player_name,total_matches,total_wins,win_pct,Clay,Grass,Hard,clay_advantage,grass_advantage,hard_advantage
307,Milos Raonic,9,5,0.5555555555555556,0.0,2.0,3.0,0.0,0.4,0.6
308,Minhtuan Pham,1,0,0.0,0.0,0.0,0.0,,,
309,Miomir Kecmanovic,57,27,0.47368421052631576,9.0,2.0,16.0,0.3333333333333333,0.07407407407407407,0.5925925925925926
310,Mirza Basic,1,0,0.0,0.0,0.0,0.0,,,
311,Mitchell Krueger,2,1,0.5,0.0,0.0,1.0,0.0,0.0,1.0
312,Moez Echargui,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Mohamed Safwat,3,2,0.6666666666666666,1.0,0.0,0.0,0.5,0.0,0.0
314,Mousa Alkotop,2,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
315,Muhammad Shoaib,2,1,0.5,0.0,1.0,0.0,0.0,1.0,0.0
316,Mustapha El Natour,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
317,Nam Hoang Ly,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Nerman Fatic,1,0,0.0,0.0,0.0,0.0,,,
319,Nicholas David Ionel,2,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
320,Nick Chappell,1,0,0.0,0.0,0.0,0.0,,,
321,Nick Kyrgios,1,0,0.0,0.0,0.0,0.0,,,
322,Nicolai Budkov Kjaer,2,0,0.0,0.0,0.0,0.0,,,
323,Nicolas Barrientos,1,0,0.0,0.0,0.0,0.0,,,
324,Nicolas Jarry,59,39,0.6610169491525424,20.0,4.0,15.0,0.5128205128205128,0.10256410256410256,0.38461538461538464
325,Nicolas Mejia,4,1,0.25,1.0,0.0,0.0,1.0,0.0,0.0
326,Nicolas Moreno De Alboran,2,0,0.0,0.0,0.0,0.0,,,
327,Nikoloz Basilashvili,6,1,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
328,Nino Serdarusic,1,0,0.0,0.0,0.0,0.0,,,
329,Novak Djokovic,63,56,0.8888888888888888,12.0,6.0,38.0,0.21428571428571427,0.10714285714285714,0.6785714285714286
