,player_name,surface,cluster
517,Laslo Djere,Hard,2
301,Laurent Lokoli,Grass,1
518,Laurent Lokoli,Hard,0
519,Leandro Riedi,Hard,0
520,Learner Tien,Hard,1
127,Leo Borg,Clay,2
521,Leo Borg,Hard,1
302,Li Tu,Grass,0
522,Li Tu,Hard,0
128,Liam Broady,Clay,2
303,Liam Broady,Grass,2
523,Liam Broady,Hard,0
524,Liam Krall,Hard,2
129,Lloyd Harris,Clay,2
304,Lloyd Harris,Grass,0
525,Lloyd Harris,Hard,2
130,Lorenzo Giustino,Clay,2
131,Lorenzo Musetti,Clay,2
305,Lorenzo Musetti,Grass,0
526,Lorenzo Musetti,Hard,0
132,Lorenzo Sonego,Clay,2
306,Lorenzo Sonego,Grass,2
527,Lorenzo Sonego,Hard,2
307,Louis Wessels,Grass,1
133,Luca Nardi,Clay,2
528,Luca Nardi,Hard,2
134,Luca Van Assche,Clay,2
308,Luca Van Assche,Grass,1
529,Luca Van Assche,Hard,0
135,Lucas Pouille,Clay,0
136,Luciano Darderi,Clay,0
530,Luciano Darderi,Hard,1
531,Lukas Klein,Hard,0
532,Luke Saville,Hard,1
137,Mackenzie Mcdonald,Clay,2
309,Mackenzie Mcdonald,Grass,2
533,Mackenzie Mcdonald,Hard,2
534,Malek Jaziri,Hard,0
535,Manas Dhamne,Hard,1
138,Marc Andrea Huesler,Clay,1
310,Marc Andrea Huesler,Grass,0
536,Marc Andrea Huesler,Hard,2
537,Marc Polmans,Hard,2
139,Marco Cecchinato,Clay,2
311,Marco Cecchinato,Grass,1
538,Marco Cecchinato,Hard,0
140,Marco Trungelliti,Clay,0
141,Marcos Giron,Clay,1
312,Marcos Giron,Grass,2
539,Marcos Giron,Hard,2
142,Marin Cilic,Clay,0
540,Marin Cilic,Hard,2
541,Mark Lajal,Hard,2
143,Marko Topo,Clay,2
144,Martin Landaluce,Clay,1
145,Marton Fucsovics,Clay,0
313,Marton Fucsovics,Grass,0
542,Marton Fucsovics,Hard,0
543,Mate Valkusz,Hard,2
146,Mateus Alves,Clay,2
544,Mathias Bourgue,Hard,1
545,Matija Pecotic,Hard,1
147,Matteo Arnaldi,Clay,0
314,Matteo Arnaldi,Grass,0
546,Matteo Arnaldi,Hard,0
148,Matteo Berrettini,Clay,1
315,Matteo Berrettini,Grass,0
547,Matteo Berrettini,Hard,2
548,Matteo Martineau,Hard,1
549,Mattia Bellucci,Hard,2
149,Max Hans Rehberg,Clay,2
150,Max Purcell,Clay,2
316,Max Purcell,Grass,2
550,Max Purcell,Hard,2
151,Maxime Cressy,Clay,0
317,Maxime Cressy,Grass,0
551,Maxime Cressy,Hard,2
152,Maximilian Marterer,Clay,1
318,Maximilian Marterer,Grass,0
552,Maximilian Marterer,Hard,2
153,Michael Mmoh,Clay,0
319,Michael Mmoh,Grass,0
553,Michael Mmoh,Hard,2
554,Michail Pervolarakis,Hard,1
154,Mikael Ymer,Clay,2
320,Mikael Ymer,Grass,2
555,Mikael Ymer,Hard,1
556,Mikhail Kukushkin,Hard,0
321,Milos Raonic,Grass,0
557,Milos Raonic,Hard,2
155,Miomir Kecmanovic,Clay,1
322,Miomir Kecmanovic,Grass,2
558,Miomir Kecmanovic,Hard,0
559,Mitchell Krueger,Hard,0
560,Nick Chappell,Hard,0
323,Nick Kyrgios,Grass,0
156,Nicolas Barrientos,Clay,1
157,Nicolas Jarry,Clay,1
324,Nicolas Jarry,Grass,0
561,Nicolas Jarry,Hard,2
158,Nicolas Mejia,Clay,0
562,Nicolas Moreno De Alboran,Hard,1
563,Nikoloz Basilashvili,Hard,0
159,Nino Serdarusic,Clay,1
160,Novak Djokovic,Clay,1
325,Novak Djokovic,Grass,0
564,Novak Djokovic,Hard,2
161,Nuno Borges,Clay,2
326,Nuno Borges,Grass,1
565,Nuno Borges,Hard,2
162,Oleksii Krutykh,Clay,2
566,Oleksii Krutykh,Hard,0
567,Omni Kumar,Hard,0
163,Oriol Roca Batalla,Clay,0
164,Oscar Otte,Clay,1
327,Oscar Otte,Grass,0
568,Oscar Otte,Hard,0
165,Otto Virtanen,Clay,0
569,Otto Virtanen,Hard,2
166,Pablo Andujar,Clay,0
570,Pablo Andujar,Hard,1
571,Pablo Carreno Busta,Hard,2
167,Pablo Llamas Ruiz,Clay,2
572,Patrick Kaukovalta,Hard,2
168,Patrick Kypson,Clay,2
169,Pavel Kotov,Clay,2
328,Pavel Kotov,Grass,2
573,Pavel Kotov,Hard,2
170,Pedro Cachin,Clay,1
329,Pedro Cachin,Grass,2
574,Pedro Cachin,Hard,2
171,Pedro Martinez,Clay,0
575,Pedro Martinez,Hard,1
172,Pedro Sousa,Clay,0
576,Philip Sekulic,Hard,1
577,Pierre Hugues Herbert,Hard,2
173,Quentin Halys,Clay,1
330,Quentin Halys,Grass,0
578,Quentin Halys,Hard,2
174,Radu Albot,Clay,2
331,Radu Albot,Grass,1
579,Radu Albot,Hard,0
580,Rafael Nadal,Hard,0
581,Ramkumar Ramanathan,Hard,0
332,Ricardas Berankis,Grass,2
175,Riccardo Bonadio,Clay,2
176,Richard Gasquet,Clay,0
333,Richard Gasquet,Grass,2
582,Richard Gasquet,Hard,0
583,Rigele Te,Hard,0
334,Rinky Hijikata,Grass,2
584,Rinky Hijikata,Hard,1
177,Roberto Bautista Agut,Clay,2
335,Roberto Bautista Agut,Grass,2
585,Roberto Bautista Agut,Hard,2
178,Roberto Carballes Baena,Clay,2
336,Roberto Carballes Baena,Grass,2
586,Roberto Carballes Baena,Hard,0
587,Robin Haase,Hard,0
